file,date,payee,gross,taxcat,tax,net,account,note,status
1789040368174.jpg,2026/08/21,しなの鉄道 上田駅,2000,非課税,0,2000,旅費交通費,ICカードチャージ,ok
1789040368173.jpg,2026/08/21,JR東日本 上田駅,11610,課税（内税10%）,1055,10555,旅費交通費,JR乗車券類3枚,ok
1789040368172.jpg,2026/08/22,協和タクシー（株）和歌山,850,課税（内税10%）,77,773,旅費交通費,タクシー,ok
1789040368171.jpg,2026/08/28,JR西日本 大津京駅,10000,非課税,0,10000,旅費交通費,ICカードチャージ,ok
1789040368178.jpg,2026/08/31,楽天銀行ATM,0,-,0,0,資金移動,残高照会・資金移動（経費対象外）,fund
1789040368176.jpg,2026/08/31,PayPay銀行ATM,0,-,0,0,資金移動,残高照会・資金移動（経費対象外）,fund
1789040368170.jpg,2026/08/27,JR西日本 大津京駅,3000,非課税,0,3000,旅費交通費,ICカードチャージ（取引内容やや不鮮明）,check
1789040368168.jpg,2026/08/22,南海電鉄 難波→和歌山市 サザン19号,1000,課税（内税10%）,91,909,旅費交通費,座席指定券,ok
1789040368166.jpg,2026/08/22,551蓬莱 南海なんば駅北口店,2080,課税（軽減8%）,154,1926,会議費・接待費,手土産（豚まん等・テイクアウト）,ok
1789040368165.jpg,2026/08/29,カフェ・ベローチェ 淀屋橋店,350,課税（内税10%）,31,319,会議費・接待費,コーヒー（イートイン）,ok
1789040368162.jpg,2026/08/28,Can★Do 上六店,770,課税（内税10%）,70,700,消耗品費,認印・カードケース等7点,ok
1789040368161.jpg,2026/08/21,JR東日本 上田駅,1230,課税（内税10%）,112,1118,旅費交通費,運賃精算,ok
1789024554423.jpg,2026/07/22,京阪電気鉄道 祇園四条駅,10000,非課税,0,10000,旅費交通費,ICカードチャージ,ok
1789040368157.jpg,2026/08/22,セブン-イレブン 南海なんば駅ガレリア店,1023,課税（8%10%混在）,79,944,会議費・接待費,飲料（ビール・水等）,ok
1789040368155.jpg,2026/08/22,サンマルクカフェ 南海なんば駅店,370,課税（内税10%）,33,337,会議費・接待費,コーヒー,ok
1789040368158.jpg,2026/08/21,三井住友銀行ATM,220,課税（内税10%）,20,200,支払手数料,ATM手数料（資金移動2万円は対象外）,ok
1789040368146.jpg,2026/08/23,JR西日本 京都駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789040368148.jpg,2026/08/31,京都市交通局,430,課税（内税10%）,39,391,旅費交通費,普通券購入,ok
1789040368150.jpg,2026/08/27,Café Sanbankan 三番館（西宮今津）,2200,課税（内税10%）,200,2000,会議費・接待費,手土産・飲食4個,ok
